date,feature_index,NO2
2020-11-16T00:00:00.000Z,0,1.914413873497064E-5
2020-11-14T00:00:00.000Z,0,
2020-11-12T00:00:00.000Z,0,2.9287413001709085E-5
2020-11-11T00:00:00.000Z,0,2.031866733887E-5
2020-11-13T00:00:00.000Z,0,
2020-11-10T00:00:00.000Z,0,2.968634167440801E-5
2020-11-17T00:00:00.000Z,0,3.288715704132171E-5
2020-12-02T00:00:00.000Z,0,
2020-11-30T00:00:00.000Z,0,
2020-11-27T00:00:00.000Z,0,
2020-11-26T00:00:00.000Z,0,
2020-12-01T00:00:00.000Z,0,
2020-12-03T00:00:00.000Z,0,
2020-11-29T00:00:00.000Z,0,
2020-11-28T00:00:00.000Z,0,
2021-01-25T00:00:00.000Z,0,
2021-01-27T00:00:00.000Z,0,
2021-01-26T00:00:00.000Z,0,
2021-01-21T00:00:00.000Z,0,4.7897902484030716E-5
2021-01-22T00:00:00.000Z,0,
2021-01-23T00:00:00.000Z,0,
2021-01-24T00:00:00.000Z,0,
2021-01-28T00:00:00.000Z,0,
2021-04-24T00:00:00.000Z,0,3.213711157254043E-5
2021-04-19T00:00:00.000Z,0,3.0985913066875325E-5
2021-04-26T00:00:00.000Z,0,2.294891269879632E-5
2021-04-23T00:00:00.000Z,0,8.504507406376598E-5
2021-04-25T00:00:00.000Z,0,2.3876139104166733E-5
2021-04-21T00:00:00.000Z,0,4.7715208568531254E-5
2021-04-22T00:00:00.000Z,0,4.896889907156167E-5
2021-04-20T00:00:00.000Z,0,6.300218566528721E-5
2020-10-07T00:00:00.000Z,0,6.234907907907785E-5
2020-10-08T00:00:00.000Z,0,4.9631400341038694E-5
2020-10-06T00:00:00.000Z,0,4.1726377016207804E-5
2020-12-07T00:00:00.000Z,0,
2020-12-06T00:00:00.000Z,0,
2020-12-11T00:00:00.000Z,0,
2020-12-10T00:00:00.000Z,0,
2020-12-04T00:00:00.000Z,0,
2020-12-08T00:00:00.000Z,0,
2020-12-09T00:00:00.000Z,0,
2020-12-05T00:00:00.000Z,0,
2020-12-20T00:00:00.000Z,0,3.143304249013974E-5
2020-12-26T00:00:00.000Z,0,
2020-12-24T00:00:00.000Z,0,6.292868602031376E-5
2020-12-22T00:00:00.000Z,0,3.9588131767231974E-5
2020-12-25T00:00:00.000Z,0,
2020-12-23T00:00:00.000Z,0,
2020-12-27T00:00:00.000Z,0,
2020-12-21T00:00:00.000Z,0,
2021-01-08T00:00:00.000Z,0,
2021-01-12T00:00:00.000Z,0,8.576310356147587E-5
2021-01-09T00:00:00.000Z,0,
2021-01-10T00:00:00.000Z,0,
2021-01-07T00:00:00.000Z,0,
2021-01-11T00:00:00.000Z,0,
2021-01-06T00:00:00.000Z,0,1.0476499028300168E-5
2021-01-05T00:00:00.000Z,0,
2021-02-24T00:00:00.000Z,0,
2021-02-26T00:00:00.000Z,0,4.476408587204507E-5
2021-02-22T00:00:00.000Z,0,
2021-02-25T00:00:00.000Z,0,
2021-02-27T00:00:00.000Z,0,
2021-02-23T00:00:00.000Z,0,
2021-02-28T00:00:00.000Z,0,
2021-03-01T00:00:00.000Z,0,
2021-05-06T00:00:00.000Z,0,
2021-05-07T00:00:00.000Z,0,
2021-05-09T00:00:00.000Z,0,6.260952322918456E-5
2021-05-10T00:00:00.000Z,0,2.5134465853885297E-5
2021-05-11T00:00:00.000Z,0,4.3093294932207626E-5
2021-05-05T00:00:00.000Z,0,2.4037455269925495E-5
2021-05-12T00:00:00.000Z,0,2.7093757385695687E-5
2021-05-08T00:00:00.000Z,0,5.245482619405569E-5
2020-06-07T00:00:00.000Z,0,6.31858129054308E-5
2020-06-10T00:00:00.000Z,0,3.659352816092516E-5
2020-06-09T00:00:00.000Z,0,5.6428341243493683E-5
2020-06-04T00:00:00.000Z,0,2.1271231876848367E-5
2020-06-06T00:00:00.000Z,0,2.594319366835407E-5
2020-06-05T00:00:00.000Z,0,2.9356415260346174E-5
2020-06-08T00:00:00.000Z,0,3.218133562248633E-5
2020-06-03T00:00:00.000Z,0,1.7467325700895992E-5
2020-07-15T00:00:00.000Z,0,
2020-07-19T00:00:00.000Z,0,3.537351884525768E-5
2020-07-20T00:00:00.000Z,0,2.5139115418174436E-5
2020-07-14T00:00:00.000Z,0,2.260581894526175E-5
2020-07-16T00:00:00.000Z,0,
2020-07-18T00:00:00.000Z,0,3.532668066392424E-5
2020-07-17T00:00:00.000Z,0,2.3111352155475678E-5
2020-07-13T00:00:00.000Z,0,1.8145783932206022E-5
2020-08-12T00:00:00.000Z,0,2.4747199404373532E-5
2020-08-07T00:00:00.000Z,0,5.6299978248055346E-5
2020-08-09T00:00:00.000Z,0,1.9535981989195405E-5
2020-08-06T00:00:00.000Z,0,2.71428144904868E-5
2020-08-11T00:00:00.000Z,0,2.3264953947196213E-5
2020-08-10T00:00:00.000Z,0,5.635690285998862E-6
2020-08-08T00:00:00.000Z,0,3.717269737535389E-5
